payee_company_name
null
HWY
一汽解放汽车有限公司成都分公司
万博
万博金属
万控(天津)电气有限公司
万控电气（转宝维）
万控科技(成都)有限公司
万控科技（转宝维）
万控集团(成都)电气有限公司
万控（天津）电气有限公司
上海乐钢供应链管理有限公司
上海云淼金属材料有限公司
上海力润贸易有限公司
上海国乐钢铁贸易有限公司
上海定国（转双流宝越）
上海宝靖实业有限公司
上海尧烨国际贸易有限公司
上海庐腾实业有限公司
上海建发物资有限公司
上海建发金属有限公司
上海懿珉金属材料有限公司
上海戈创实业发展有限公司
上海找钢网信息科技股份有限公司
上海晋川实业发展有限公司
上海欧冶材料技术有限责任公司
上海欧冶材料技术有限责任公司成都分公司
上海欧冶物流股份有限公司
上海海泰钢管（集团）有限公司
上海涵清国际贸易有限公司
上海涵清（转双流宝越）
上海舆金实业有限公司
上海茂高物产贸易有限公司
上海袤昌实业发展有限公司
上海话信实业有限公司
上海象屿牧盛贸易有限公司
上海跃骋金属材料有限公司
上海钢银电子商务股份有限公司
上海钢银电子商务股份有限公司（景腾盛）
上海钢银电子商务股份有限公司（百营）
上海铸鎏商贸有限公司
上海闽兴大国际贸易有限公司
世纪海川
丙鑫
丙鑫金
东岭华杰
东岭盛佳
东盛隆贸易
中伟钢物联发展有限公司
中储发展股份有限公司成都天一分公司
中先公司
中先物资
中兵（转437加工厂）
中兵（转三河镇成实钢管）
中兵（转众博）
中兵（转剑龙盛溪）
中兵（转大邑凯西）
中兵（转天一库）
中兵（转石油库）
中兵（转西联）
中兵（转龙泉驿东光奥威汽车）
中兵（转龙港）
中冶陕压重工设备有限公司
中国兵工物资集团有限公司
中国矿产有限责任公司成都分公司
中国重汽王牌集团绵阳专用汽车有限公司
中国重汽集团成都王牌商用车有限公司
中国铁路物资北京有限公司西安分公司
中国铁路物资成都有限公司
中帮
中帮贸易
中建伟业
中江县寿益新材料科技有限公司
中环商贸
中腾容器（转广汉三亚路）
中茵（转库）
中铁成都（转437）
中铁成都（转西联）
中铁成都（转龙港）
中铁物华东集团国际贸易有限公司
丽水万控科技有限公司
乐山市鹏祥商贸有限公司
乐山金裕丰
乐山金裕丰贸易
云南亚飞（凯众酒店）
云南伦通经贸有限公司
云南圆就圆商贸有限公司
云南正飞
云南福莲达商贸有限公司
云南能投物流有限责任公司
五矿钢铁成都有限公司
人和嘉业
什邡宏亚
什邡市成同商贸
什邡精密钢管（转木兰镇）
什防宏亚
仁恒佳合
代兴公司
众心协力
优拓
佳凯丰
佳宏金属
佳泰恒
佳舟（转05库）
佳舟（转众博）
佳舟（转量力周边仓库）
俊杰计划
保定中机联昌贸易有限公司
保定国地商贸有限公司
信源物流
信达（转437加工厂）
信达（转天一库加工厂）
信达（转西联）
先拓
先拓公司
兴金汇（转437）
兴金汇（转龙港）
其他客户
内江神舟机电设备有限公司
内江神舟（转05库）
内江神舟（转437）
内江铭威能源有限责任公司
